펫티켓 포스터,"첨부파일
펫티켓01
.jpg
null
파일 다운로드
필요하신분 쓰세요","허수아비2
2023.01.05. 12:30"
영월 카페 :: 분위기 좋은 오그란이 단팥빵,"영월 카페 :: 분위기 좋은 오그란이 단팥빵
이 곳은 ""오그란이 단팥빵"" 입니다
영월 카페 :: 분위기 좋은 오그란이
영월 카페 오그란이 단팥빵은 100% 국내산 팥을 직접 조리하여 사용합니다.
유기농 밀가루, 천연발효종, 천연버터, 천일염, 비정제설탕을 사용하여 더 깊은 맛을 느낄 수 있습니다.
영월 카페 오그란이의 펫티켓 꼭 지켜주세요 ★ 반려동물은 가능하나 야외에서만 이용 가능!
영업시간은 오전 10시부터 오후 9시까지
넓은 마당도 있어요 : -)
영월 카페 :: 분위기 좋은 오그란이 단팥빵 메뉴판
영월 카페 오그란이 단팥빵의 메뉴!
아메리카노 4천원 / 수제 팥빙수 12천원 그리고 빵들은 택배 주문도 가능.
영월 카페 :: 분위기 좋은 오그란이 단팥빵 실내
제가 갔을 때는 빵 냉장고가 텅~~ 비어 있어서 순간 실망했는데~~
제가 먹으려고 했던 빵은 마침 딱!! 두 개가 남아 있어서 또 신났잖아요~~ㅋㅋㅋㅋ
오후 시간이긴 했는데 늦게 가면 빵이 없을 것 같아요 ㅠㅠ....
제가 주문한 수제 팥빙수 12,000 원
팥이 막 달지도 않고 엄청 곱고 부드러운데다가 고소한 미숫가루!!
먹기 좋고 맛있는 팥빙수였어요. 팥 싫어하는 짝꿍이 잘 먹더라구요?!
영월 카페 오그란이 단팥빵에 가기 전에 이거 먹어야지!!! 하고 생각하고 갔거든요.
찹쌀단팥빵 그리고 생크림 단팥빵
생크림이 듬~~~~뿍 들어있던 생크림 단팥빵과 쫀득쫀득 찹쌀단팥빵
맛있었어요 *-_-*
택배로 시켜먹을만 하다....... 싶을 정도!!!! 영월 여행 선물로 사가도 좋을 정도!!!
저는 아마도 팥빙수 먹으러 또 가지 않을까 싶어요 : ))
포스팅하다 보니 생각나네요....!! (침 꼴깍...) 히힛
50m
© NAVER Corp.
오그란이 단팥빵
강원도 영월군 영월읍 태화산로 234 1층 오그란이
영월 카페 :: 분위기 좋은 오그란이 단팥빵 실내
* 주소 :: 강원 영월군 영월읍 태화산로 234 1층 오그란이
* 주차장 있습니다
* 영업시간 10시 ~ 21시 / 매주 월요일 휴무
* 강아지 동반 가능하지만 실내 출입 안됩니다!!!!","패기쩌는동네형
이쁜카페가서 빙수에 빵까지...? 너무하신듯?
2022.07.17. 16:30"
(해방촌)카페 무니 보리공쥬랑 다녀왔어요,"※ 제목은 반드시 ""(지역) + 다녀오신 반려견 동반 카페/식당의 이름"" 을 포함해서 작성 해주세요! 
ex) (수원) 푸들카페 하루와 갔다 왔어요!! 
ex) (부산) 독데렐라 미미와 어제 갔었어요~ 
---------------------------------------------------------------------------------------------------------------- 
(애견 동반 식당/카페) 장소 이름: 카페 무니
(애견 동반 식당/카페) 장소 위치: 서울 용산구 신흥로20길 37
(애견 동반 식당/카페) 사진 및 후기:
루프탑에서 서울 전망을 시원하게 볼수있는곳!
커피,케익 맛있어요!
애견전용 카페다 아닌만큼 캐리어,리드줄,펫티켓은 필수!!","임진정I대전
둘다 맛있는곳 동반 된다는게 그래도 넘 좋은거 같아요!
2022.06.23. 22:11"
강아지목줄,"며칠전 저녁8시쯤 단지내 편의점갔다오는길에
중앙광장 지나는데 멀리서 강아지한마리가 빠르게 제가 있는 쪽으로 달려오길래 설마설마하면서 그대로 멈췄어요. 소형견이라 크게 소리는 지르지않았지만 와서 물까봐 겁나서 얼어있는데 아니나 다를까 제 무릎으로 뛰어오르는거예요. 해치려는거같진않고 그냥 신나서 그런거같은 느낌이었는데 그래도 전 무서웠어요
주인은 젊은 남자였는데 계속 이리와이리와만하고 강아지는 안가고ㅠㅠ 목줄은 아예 있지도 않고 그냥 강아지 뛰어놀게하는건지ㅠ 너무 화가나서 목줄좀 채우라고 했더니 네~~하고. 갈길가네요ㅠ
상식이 없는 인간들이 왜 강아지를 기르는건지
자기나. 이쁜 새끼지 남한테는 공포의 대상일수도 있는데. 최소한의 펫티켓은 지켜야하는거 아닌가요
목동에서 두번이나 이런일이 있어요 처음에 큰개였고 이번에 소형견이었네요
제발 견주분들 지킬건 지킵시다!!",삭제된 댓글입니다.
날풀리니 또 시작이네요,"날이 풀리니 또 시비가 시작됐네요.
안그래도 대형견에 대한 불편한 시선들 때문에 
일부러 길가에 딱 붙어서 산책하는데
아주 의도적으로 개 옆으로 오더니
멈춰서서 큰개를 왜 끌고 나오냐, 입마개를 왜 안하냐
사진찍어서 신고하겠다 하면서 사진찍고
난리를 치길래 그럼 경찰 불러서 시시비비 가려보자니까 바쁘다며 줄행랑치는 할배들.
경찰에 신고하고 할배들한테 경찰올때까지 기다리라고, 찍은 사진들 지우라고 말하면서
쫓아가니까 한다는 말이 남자애들 풀어서 너(저) 가만안둘거다 협박으로 끝났네요.
협박받고 어이가 없어서 그자리에 서 있었는데
뒤늦게 도착한 경찰들한테 협박당한 사실까지 진술했으나
이미 그 할배들은 사라졌고 너무 화가 나고 억울해서 눈물이 찔끔 났어요.
어처구니 없었던 건 그 주위에 소형견이랑 다른 대형견 끌고 다니는 남성 견주도 있었는데
왜 보조기까지 착용하고 다니는 우리 강아지랑 저한테만 이러는거죠?
잘 모르는 사람들은 제가 피해의식이 있다 생각할정도로 저한테만 이런일이 일어나요.
키가 작아서 그런걸까요? 만만해 보이는 걸까요?
사람 없는 시간에 산책하는 것도 한두번이지
이런식이면 우리 개는 햇빛도 못보고 살라는 건지 참..
작은 시비들은 그냥 무시하고 살았는데
또 이 구역의 미친년이 돼야 내버려 둘런지.. 
아무리 펫티켓을 잘 지켜도 바뀌는게 없어서 이젠 악만 남아요.
대형견에 대한 차가운 시선들 때문에 하소연할 곳이 없어서 그냥 내사리에 속풀이 해봐요...
🚨 게시물 작성전 상단에 있는 게시물작성 유의사항을 확인하세요 😄","봉구형왕구I전주
유독 여자분들이 대리고다닐때만 시비 거는 사람들이있더라구요
저도 제가 대리고다닐땐 별말못들었는데
여자친구가 대리고 나가면 뭐라고 하고 지나가는 사람들이있다고 하더군요
전그냥 산책할때 이어폰끼고 남들한테 피해만 안주면되지 라고생각하고 산책합니다
주택살아서 강아지 키우는데 지나갈때 짖는다고 뭐라고하는사람도 있습니다
2022.03.22. 10:38"
보고만 있어도 힐링되는 달려라해피💚,"푸릇한 나뭇잎들이 너무너무 이쁘게 자리를 잡았어요💚
보고만 있어도 힐링되는 그런 테라스공간이예요:) 
보고만 있어도 힐링되는 달려라해피
재생 수
25
00:00 | 00:16
화질 선택 옵션
자동

보고만 있어도 힐링되는 달려라해피💚
아아 한잔 마시며 푸릇한 나무도 감상하고,우리 멈머들 뛰어노는거 구경하면 얼마나 뿌듯한지..제가 제일 좋아하는 아침풍경이예요☺️
강아지 없어도 강아지 안무서워 하시는 분들도 환영합니다^_^
바베큐장,원데이캠핑도 이용 가능합니다!간단한 펫티켓만 지켜주시면 되요🙇🏻‍♀️🤍
run__happy__
오늘도 힘차게 하루를 시작해 볼까요!
충사모 횐님들도 오늘 하루 즐겁게 보내세요🙇🏻‍♀️🙂
5월 가정의달 연휴로 호텔예약이 많아지고 있어요! 
친구들 많으니 호텔링 하는 동안 뛰어놀고 싶은 멈머들 
문의주세요:) 
🦴달달해수제간식🦴
🎈오리목뼈 
🎈오리연골
🎈달달해씨리얼
🎈연어큐브
🎈소간칩 
✨예약 찜 가능! 2만원 이상 구매시 달해무료입장권 증정✨
-애견카페,애견운동장
-애견호텔 
-애견동반바베큐장 
-애견동반원데이캠핑
-애견수영장
-강아지수제간식
문의:01062651965
인스타그램_run__happy__","Eroom
저 격하게 아아 마시러 가고 싶습니다☺️
2022.05.06. 12:03"
내일 애견카페 탐방갑니다 ㅎㅎ,"아이둘 데리고 애견카페 놀러가보려고요 ㅎㅎ
막냉이 들일 준비하며 조금은 무서워하는 첫째랑
마냥 좋아만 하는 둘째랑 데리고 가서
펫티켓도 알려주고 구경도 하고 오려고요 ㅎ
우리가 데리고 올 막냉이 비숑견도
어떤 종인지 알려주고요^^
첫째는 엄마말 잘듣는 FM 아이라
시키는대로 잘 할거 같은데
둘째는 강아지만 보면 금사빠라
엄마의 통제가 중요할거 같네요 ㅎㅎ
처음 가는 애견카페.. 조심히
다녀와서 후기 남길게요 ㅎㅎ","현도령
저도 냥카페 개카페 투어하고 그랬었는데….. 잘 다녀오세요~
아마 애들 못 뛰게 할꺼에요^^
잘 알려주고 오세요~
2022.02.04. 23:04"
개짖는 소음 심각하네요.,"개짖는 소음이 심각하네요.
견주들은 신경도 안 쓰는 거 같은데 연차라서 하루 집에서 푹 쉬니 진짜 종일 짖어댄다고 할만큼 소음 공해 수준 입니다. 내다보면 그냥 짖게 두지 제지하는 모습 보기 힘드네요. 어제 밤에 단지 산챡하다가 갑자기 개가 짖우 놀랐는데 견주는 미안하단 말도 안하고 짜증이 확 나더군요. 개 키우는 건 자유지만 자유란 게 남에게 피해를 주지 않는 선에서 누리는 겁니다. 공원에서 엘베에서 복도에서 앞집 현관에서 시도때도 없이 짖어대는 개소리에 대한 견주들의 노략과 각성이 필요해 보입니다. 층간소음과 다를 바 없는데 펫티켓을 지켜서 이웃간에 불화가 없었으면 합니다.","215심슨
견주자격없으면 키우지마셔야
2022.04.20. 20:28"
🤗 행주산성 다녀왔어요 🤗,"팝콘이 나들이 왔어용🤍
행주산성 옆쪽 넓은 잔디 운동장🤗
이모네 냅두고 팝콘이혼자 뛰뛰 삼매경👏🏻👏🏻
신난 궁뎅이🤍
부드러운 잔디만 좋아하는 애😒
드넓은 잔디밭에 심취해서 
신나게 뛰뛰했지만 억센 잔디에
싫어서 꼬리 하강 중입니다 ㅋㅋㅋ
결국 안고 이동했어요 ㅋㅋ
이땅도 내꺼 👍🏻
동그란거 옆에 동그란애🤣
옆머리통에 풀가루 잔뜩 붙이기 중 ㅋㅋ
반대쪽으로 걸어가면 한국스러운 수변길🤍
그림자도 귀여운애 😍
온몸에 잔디 풀떼기 흙을 덮고 와서 ㅋㅋㅋㅋㅋ
빨래 당했어요 ㅎㅎㅎ
내친김에 홈그루밍 까지…….
오늘 하루가 기네요…..👉🏻👈🏻
둘다 떡실신 기절하고 푹 잤답니다 ㅎㅎ
피곤해도 괜찮아
귀여우니까🤍
행주산성 후기 좀 적어 볼께요👉🏻👈🏻
우선, 엄~~~~~~~~청 넓어요
길게 산책 할수 있답니다
잔디밭에 엄청나게 많은 기러기가 있어요
기러기떼가 쉬어가는 곳
그래도 넓어서 산책하는데 문제없어요
잔디가 억세고 개똥이 많아요
안치우고 가는 펫티켓없는 사람들🤬
저기 다녀오고나면..
목욕은 필수 ㅎㅎ","쏭누나 고양
헉 행주산성에 이런곳도 잇엇네요! 나들이 함 가봐야겟어요!! 팝콘이 넘 행복해보여요 ..💛💛💛
2022.02.10. 11:31"
강아지 정보 알아두면 좋은 것들!,"강아지를 키우고 싶으신 분들이라면
기본적으로 알아두셔야 하는 상식들을
미리 살펴보시는 것이 좋은데요!
오늘은 강아지 정보에 대해서
한번 공유해 보도록 할게요:)
1. 털이 덮인 강아지는 땀이 날까요?
더운 여름이라 해도 강아지 털은
항상 보송보송한데요.
더운 건 강아지도 마찬가지일텐데
땀을 어떻게 배출하고 있는지
궁금해 하실 수 있어요.
강아지는 몸에는 땀샘이 존재하지
않기 때문에 체온을 조절하기 위해
구개호흡을 하고 있는데요.
유일한 땀샘이 발바닥에 있기에
땀을 흘리지 않는 것처럼 보여요.
2. 강아지 검은 점이 있으면 순종일까요?
강아지에게 생긴 검은 점은
사람처럼 멜라닌이라는 색소로,
세포의 이물질이 형성되면서
만들어진 것을 말하는데요.
그러나 우리나라 사람들의
대부분이 가지고 있는 몽고반점과
같다고 보시면 되며 순종을 뜻하는
것은 아니랍니다.
3. 강아지도 단어를 학습할까요?
실제로 지능이 높은 강아지는
천재견이라고 불리우는 경우도 있는데,
강아지에 따라서 다른 부분이 많지만
200개에서 많게는 500개까지도
단어를 기억할 수 있는데요.
더욱 놀라운 건 기초 수학도
가능할 정도라 하니 훈련을
통해 습득할 수 있답니다.
4. 강아지가 우유를 많이 마시면 기생충이 생길까요?
이건 그렇지 않다고 볼 수 있는데요.
우유에는 지방이 다량 포함되어 있어
적정량을 초과하게 되면
설사를 할 수 있어요.
특히나 어린 강아지에게 기생충이
많은 이유는 임신이나 모유를
먹을 때 기생충에 감염되었기
때문이라 보시면 된답니다.
5. 강아지 코가 뛰어난 이유는요?
냄새를 잘 맡는 사람에게 흔히
'개코'라는 표현을 사용하는데요.
강아지의 코는 사람보다 10만배나
발달되어 있고 500만개의 후각
수용기가 냄새 감각을 만들어요.
또한 냄새를 맡게 되는 후각세포가
무려 3억개에 달하고 있을 정도로
대단하다고 볼 수 있는데요!
그렇기 때문에 예민하게 반응하여
짖음이 심해질 수 있어 펫티켓을
지켜주시는 것이 좋아요.","그미
좋은 정보 감사합니다
2022.05.30. 19:32"
동반카페 나들이,"무서운 코시국
정말 오랜만에 가족모두 외부활동 잠시하고왔어요
동반카페에요
펫티켓 잘지켜서 오래오래 함께 할수있길 바래요~",[0]
[원주맛집]도로커피 에서 개이트💜,"라이랑
산책 나갔으나 미먼이 넘 안좋아서
공원 말고 카페로 고고💨💨💨
근래 계속 에그타르트가 생각나서
최애 에타맛집 
도로커피
다녀왔어요^^  
원주 가는길 귀래에 위치하고 있는
원주맛집. 귀래맛집 도로커피
라이도 도로커피 에그타르트 너무 잘 먹어요^^
에타.크럼블.시오빵 외 디저트 다 맛있는
찐 디저트 맛집❤️
원주 들락날락 하시다 한번쯤 들러보세요🤗
추천 합니다👍
ㅡ반려견 동반 가능 카페 입니다.
ㅡ펫티켓 잘 지켜 주세요‼️","루체
이쁜모델 라이닷♡
2022.11.16. 21:27"
강사모에도 입마개충이 있네요.,"자극적인 제목 죄송합니다.
얼마전 있었던 안타까운 개물림 사고 이후로 지역 맘까페마다
입에 담지 못할 수준으로 개 혐오가 만연하길래 답답한 마음으로 키보드를 두드려 봅니다.
각종 커뮤니티마다 보편적으로 눈에 띄는게 전견종(혹은 중대형견) 입마개 착용 주장이네요.
그런데 진짜 입마개만 착용하면 개물림사고가 획기적으로 준다고 생각하시나요?
개물림 사고의 해결책은 입마개가 아닙니다.
그간의 물림사고 기사를 찾아보시면 아시겠지만 대부분의 개물림 사고는
'목줄을 하지 않거나 주인의 부주의'로 발생합니다.
대체 어디서 입마개를 만능 방어막처럼 소개했는지 모르겠는데 
적어도 견주님들은 입마개가 답이 아니라는거 알고있지 않나요?
일단 입마개 자체에 대한 효용도 의문입니다.
시판되는 입마개, 모양도 재질도 정말 다양합니다.
반려견 머즐모양, 두상크기는 더 가지각색이고요.
반려견이 물이나 간식을 먹을 수 있고, 호흡에 방해가 안되는 기준을 충족하면서 잘 맞는 입마개 찾기가 그리 쉬운가요?
잘 맞지 않는 입마개 쉽게 벗겨집니다. 앞발좀 잘 쓰는 아이는 그냥 쑤욱 빼요.
심하게 터는 아이는 입마개 자꾸 조금씩 벗져져서 나중엔 휙휙 돌아갑니다.
운이 좋아 제 힘으로는 벗겨지지 않는다고 쳐요.
정말 공격성이 있는 개가 실제 사람이나 다른 반려견을 공격할때 그냥 한번 공격하고 끝이던가요? 
밀어내고 발로차도 계속 달려들어 주둥이를 부딪칩니다.
피해자나 피해견의 몸부림이 입마개에 닿을 수도 있고요.
입마개가 벗겨지는 모습은 공중파 반려견 행동 교정 프로그램에서도 나왔습니다.
실리콘 재질 입마개의 경우 실리콘이 눌리면서 구멍사이로 이빨 튀어나오기도 합니다.
입마개 강제에 대한 법이 없고, 입마개 선택에 대한 기준도 없고, 입마개 안정성에 대한 인증도 없는데
무지성으로 그저 입마개만 타령합니다.
지금 문제일으키는 개들 대부분이 견주가 현행되는 동물보호법도 제대로 지키지 못해 발생하는데
입마개가 전 견종 의무화 된다고한들 뭐가 달라질까요?
기존에 리드줄 잘 하고 펫티켓 준수하는 보호자들만 따르지
애당초 오프리쉬에 관리 제대로 안하는 사람들이 입마개 의무를 지킬지도 의문입니다.
입마개 의무를 지킨다고 해도 이때다 싶어 우후죽순으로 판매되는 허술한 싸구려 입마개 하나 
대충 구색만 갖춰 씌우면 사고는 사고대로 일어날거고 
오히려 무책임 견주에게 입마개를 했다는 사실 하나만으로
면책특권을 부여하는 꼴이 되지 않나요?
지금 상황에선 결국 입마개 선택도, 그 과정에서 나오는 잡음도 모두 견주 책임이 되는 겁니다.
입마개에 대한 효용성이 없으면 그다음에 요구되는건 뭘까요? 또 그다음은요?
그리고 중대형견을 반려하는 여성견주의 입장에서 말씀드리면 입마개 하나 안하나 엄청 시비걸립니다.
입마개를 안하면 안한다고 고성, 욕설, 때리는 시늉.
입마개를 하면 했다고 맹견취급하면서 저런개를 데리고 나오냐, 저런개를 아파트에서 키우냐 난리납니다.
심지어 다른 견주분들이 답답해보인다고 공격성도 없는데 왜 입마개를 하냐고 한마디씩 거들어요.
스트레스가 더 심합니다.
어느장단에 춤춰야하나요?
입마개 강요는 그냥 혐오의 수단입니다.
솔직히 입마개 시비 당해보면요, 개에 대한 무서움보다는 그냥 개가 맘에 안드는 사람이 대부분이에요.
정말 개가 무서웠으면 와서 시비도 못걸겠죠. 
타인이 와도 얌전히 있는 반려견 데리고 산책하는 견주가 타겟이 됩니다.
여성견주들이 듣는 말 레파토리만 봐도 그냥 혐오에서 우러나온 발언들이에요.
- 저런 개를 잡아먹어야지 어떻게 집에서 키우냐
- 여자가 결혼을 안하고/아이는 안돌보고 개를 키우냐
- 지 부모한테나 그렇게 해봐라
- 여자가 그런 큰 개를 무슨 용도(?)로 키우는거냐
- 기타 비언어적인 폭력(째려보기, 위아래로 훑어보기, 혀를 끌끌 차기, 때리려는 시늉 등)
입마개가 실제로 공격을 얼마나 막아줄지에 대한 제대로 된 통계 자료가 없습니다.
입마개 전 견종 시행을 하는 다른 나라의 사례 또한 없기 때문에 실효성에 대한 통계도 없습니다.
근거도 없는데 입마개 착용하면 개물림 사고가 사라진다는 것은 일종의 뇌피셜 아닌가요?
지금도 입마개를 해도 견주에게 쏟아지는 혐오 시선은 여전한데
입마개가 모든 개물림 사고의 해결책이고, 입마개만 하면 모든 혐오자들이 혐오를 멈춘다는 보장이 되어있나요?
이런 상황에서 성급한 입마개 전견종 착용은 개 혐오자들에게 합리화 발판을 마련해 주는 것으로 변질될 가능성이 크고, 그 혐오의 방향은 이제 다음단계로 나아가겠죠.
이번 개물림사고 뉴스 댓글만 봐도 얼마나 많은 혐오가 대한민국에 존재하는지 알수 있어요.
'견주도 안락사 시켜야지. 그리고 지나간 사람은 분명 중국인일거야.'
'일단 저 여자 한국인 맞냐?'
'내일이 초복이다!!저런 똥개는 견주가 직접 도축해서 피해자에게 보신탕 한솥 끄리면서 사과 해라!!'
'아줌마네ㅋㅋㅋ 아줌마한테 뭘 기대해?ㅋㅋㅋㅋ'
'말할 가치도 없는 늙은 살찐년에 불가합니다'
'내일 복날이다. 보신탕집 흥해라!'
'아이고 아줌마야 줌마야 ㅉㅉㅉ'
'중국인이랑 똑같음 중국으로 그냥 가시면 될 들'
'남자와 여자의 차이 ㅋㅋ 여자: 어머 오또케.오또케...종종 걸음으로 도망'
대충 기사 댓글 훑어서 복붙한 내용들입니다.
혐오의 방향은 개가 되었다가, 견주가 되기도하고, 중국인이 되기도 하고, 아줌마가 되었다가 여성이 되기도 합니다.
입마개 법제화 주장에 이때다 싶어 도그포비아들이 살을 붙이고 본질을 흐리는 상황에서
입마개가 법제화 되면 그 기회를 발판삼아 다음 차례는 사회적 약자가 되겠지요.
맘까페 보면 경악스러워요.
개가 다가오면 발로 차라, 눈알을 찔러라 라고 가르쳤다는 얘기.
삼단봉, 주머니칼을 구매했고 아이 가방에 넣어주었다는 얘기.
상생이 아닌 혐오의 방법을 가르치는 부모들에게 놀랐고,
이미 개물림사고의 해결책에 대한 본질은 흐려지고 개 혐오에만 살을 붙이는 풍조에 말을 잃었어요.
혹시나 목줄이 풀린 반려견, 유기견들에 대한 무차별적인 공격으로 이어질까봐 걱정되네요.
책임감 없이 사회 시선이 부담돼 많은 개들이 버려질까봐도 걱정입니다.
전 견종 입마개 착용을 주장하는 사람의 논지를 보면 
'개는 인간과 다르다, 모든 개는 잠재적인 공격성이 있다, 물지않는 개는 없다'고 합니다.
반려인구 1500만, 4가구중 1가구가 반려동물을 기르는 시대에 개에 대해 알아볼 생각도 안하고 심지어 맹견의 종류나 현행법도 모르면서 이럴때는 개에 대한 전문가 납셨어요. 
참 아이러니하지 않나요?
심지어 개와 사람의 '차이'를 인정하라는데, 이들이 하는 주장은 차이가 아닌 차별 아닌가요?
사전적 정의를 보면, ‘차이’는 ‘서로 같지 아니하고 다름. 또는 그런 정도나 상태’로,
‘차별’은 ‘둘 이상의 대상을 각각 등급이나 수준 따위의 차이를 두어서 특정집단을 사회적으로 격리시키는 통제 형태’로 정의합니다.
과연 전 견종 입마개 강요가 차이에 대한 이해에서 비롯된다고 볼 수 있나요?
사람의 생각은 다양하지요. 그렇기 때문에 법이 존재합니다.
현행법을 위반하지 않은 견주들에게 행해지는 입마개 착용 요구는 '강요'입니다.
물론 펫티켓이라는게 있지요. 
엘리베이터같은 공용공간에서 아이를 안거나 줄을 짧게 잡고 구석에 앉히기, 먼저 타시게 양보하기 등.
근데 이건 배려잖아요.
배려는 어느 한쪽에게 일방적으로 요구할 수 없고 행동강령으로 정해진 것이 아니에요.
비반려인들의 논지는 '내가 무서우니까, 내가 놀라니까' 엘리베이터를 이용하지 말라는 요구로 이어지기도 합니다.
타당한 근거 없이 주관적 가치판단 잣대를 들이대는 것이 정상이라고 생각하시나요?
결국 다양한 사람들의 가치는 법에 의해서 통제되어야 합니다.
현행 동물보호법령에서는 외출시 입마개 착용은 모든 반려동물 동반 외출시의 의무사항이 아니며
맹견에 해당하는 일부 견종(도사견, 아메리칸 핏불테리어, 아메리칸 스태퍼드셔 테리어, 로트와일러 및 그 잡종)에 
대해서만 착용 의무를 두고 있습니다.
동물보호법 제 12조에 따르면 반려동물과 외출을 하는 경우 목줄의 길이를 통해
다른 사람에게 위해나 혐오감을 주지 아니하는 범위를 유지하라고 하고 있습니다.
동물보호법 제 3조에 따르면 동물을 사육, 관리 또는 보호하는 자는 다음 원칙을 준수하여야 합니다.
-동물이 본래의 습성과 신체의 원형을 유지하며 정상적으로 살 수 있도록 할 것
-동물이 갈증 및 굶주림을 겪거나 영양이 결핍되지 아니하도록 할 것
-동물이 정상적인 행동을 표현할 수 있고 불편함을 겪지 않도록 할 것
-동물이 고통, 상해 및 질병으로부터 자유롭도록 할 것
-동물이 공포와 스트레스를 받지 아니하도록 할 것
이러한 법이 잘못되었다고 생각되면, 법의 개정이나 추가를 위해 애쓰면 될 일입니다.
그런데 입마개 착용을 주장하는 사람들의 논조를 들어보면 그냥 '혐오를 위한 혐오' 대상이 필요한 것 같습니다.
애당초 견주들도 대한민국 법의 보호를 받는 국민인데, 싸잡아 범죄자 취급 당하고 있는거 아닌가요?
제도의 개선이 이루어지지 않았는데 각자의 논지에 근거해 법을 무시하고 당장 입마개를 강요하는 것이 
과연 타당할까요?
사실 우리는 이미 개물림사고의 해답을 알고있습니다. '견주의 자질교육', '견주 처벌 강화'.
많은 견주님들이 주장하는 내용이지요.
우리나라에서 맹견을 키우려면 입마개 뿐 아니라 
입장 가능 장소 제한, 특수보험 가입, 매년 3시간 이상 의무교육을 듣도록 강제하고 있습니다. 
이를 지키지 않으면 견주에 대한 과태료도 높은 편입니다.
국가에서 이미 견주 교육에 대한 필요성, 처벌 강화 방안을 인식하고 일부 시행하고 있는거지요.
만약 입마개가 그렇게 만능 해결책이면 맹견에게도 '입마개'만 강제했겠지요.
왜 이런 부분은 가리고 그저 '입마개'에만 초점을 맞추는 건지 참 의아합니다.
제발 무조건적인 혐오와 차별을 멈춰주세요.
무조건적인 비난보다는 현명한 판단을 통해
반려인 가구도 비반려인 가구도 서로의 입장에서 좋은 타협점을 찾았으면 좋겠습니다.
근본적인 해결책이 바로 설수 있는데 소리내 주세요.
부족한 글에 하고싶은 말을 제대로 담았는지 모르겠습니다.
많은 견주분들이 의견내 주셨으면 좋겠습니다.","갈비아빠빠
혐오글 비하글 등등 이제는 너무 많아서 신경을 안쓰려구요. 나한테만 피해가 없다면.. 하나하나 스트레스 받으니까..우리 애들한테도 예민하게 되는것같고 그렇더라구요..ㅠ 이건 그냥 국민성의 문제입니다. 급격히 반려문화가 커지고 늘어난것도 맞고, 반려인이든 피반려인이든, 정부든, 뭐든 준비가 안된것도 맞고요.
2022.07.17. 12:51"
매너있는견주 본 어제와 오늘,요즘 펫티켓으로 시끌시끌하잖아요 어제 저녁산책을 하는데 강아지 산찬나온 부부가 있는데 2미터쯤 거리에서 남자주인분이 갑자기 개보고 앉아~ 그러시더라구요 여자주인분이 왜 갑자기 앉으래? 하니 사람지나가잖아 하시더라구요  오늘은 개2마리 산책나온 부부셨는데 앞에서 멀리오는거 보이니 보도블럭 아래로 내려가서 걸으시더라구요 차는 다니지않는곳이여서 위험한건 아니구요 그런분들만 계시면  트러블이 없겠어요....,"부영이롤
개물림사건이후로 개목줄다들잘하고다니시더라구요 ㅎ
2022.07.28. 21:47"
다짜고짜 무섭다?,"리트리버 비담이와 둥이는 한적한 시골에 살아요
동네에 산책하는 강아지가 그닥 없어서 다들 알아봐주시고 예뻐해주시기도 해요ㅋㅋㅋ
물론 약간 무서워하는 눈치다? 싶으면 안심시켜드리면서 
한쪽에 서서 어르신 지나갈때까지 기다려드리구요 
여기 시골에도 물론 오프리쉬도 있고 대형견 혐오하는 어르신들도 있구요 자기 개가 달려들고는 겁이 많다며 여전히 오프리쉬하고
어떤 부녀는 차례대로 오프리쉬 하고 자기 개만 소중해 죽겠다는 꼴같잖은 꼴도 보구요ㅋㅋㅋ 
우리 애들은 짖지 않아도 참지 않는 누나는 물어뜯는데요ㅋㅋ
 산책길에 저 아이가 묶여있는데 리트리버 비담이 보고 짖는 날이 많거든요
며칠 전 그날도 맹렬히 짖는데 대뜸 백발 할머니가 우리보고
👵 ""아우 개가 커서 무섭다며 어쩌구 저쩌구"" 
이해하는데 혐오스런 눈빛을 보내여 얘기하는 거예요? 
👧 네? 짖는 건 쟤가 짖고있고 우리는 덩치만 크지 순하게 아무 소리도 안내고 가만히 있는데 왜 우리한테 무섭다고 그러시냐? 
격앙된 소리로 똑바로 얘기했어요 
👵 (흠칫하며) 아니 개가 크니까 무서워보인다는 거지 
진짜 상황 판단 좀 하고 적당히 씨부렸으면 좋겠어요
뭐 한입거리도 안되는데 왜 덤벼 
같은 개 키우는 사람끼리 야박하네 
되도 않는 소리들 하는데 올바르게 펫티켓 지키면서 산책하는 보호자들과 개념없는 본인들을 엮지 말았으면 좋겠어요 
죽일 듯이 짖는 개가 어디서 같은 취급 받으려는 건지 ","모찌맘
우리동네도 그렇게 널!!죽이겠어!! 하는 푸들이 있어요ㅋㅋ 유모차에 타서는 캉캉캉 짖어요ㅋㅋ 그런데도 우리 모찌가 크고 무섭다고ㅋㅋ 속으로 똥싸면 똥이나 치워라 할마씨!! 하지요ㅋㅋ
2022.04.29. 22:32"
